doctor_id,send_count,read_count
1.0,52,0
3.0,43,0
5.0,51,0
6.0,52,0
10.0,49,0
11.0,48,0
13.0,51,0
32.0,44,0
33.0,47,0
40.0,51,0
44.0,49,0
45.0,47,0
49.0,50,0
53.0,50,0
54.0,52,0
58.0,57,0
62.0,49,0
66.0,46,0
68.0,51,0
70.0,46,0
73.0,52,0
81.0,50,0
83.0,52,0
91.0,52,0
93.0,49,0
96.0,48,0
100.0,55,0
102.0,45,0
104.0,48,0
112.0,50,0
116.0,53,0
131.0,50,0
137.0,51,0
138.0,46,0
139.0,47,0
140.0,45,0
142.0,48,0
143.0,49,0
149.0,49,0
150.0,52,0
156.0,49,0
165.0,51,0
166.0,51,0
171.0,48,0
178.0,49,0
183.0,47,0
188.0,48,0
192.0,57,0
194.0,48,0
195.0,52,0
201.0,51,0
204.0,47,0
205.0,48,0
210.0,42,0
219.0,46,0
220.0,45,0
224.0,45,0
226.0,49,0
228.0,51,0
230.0,55,0
232.0,54,0
235.0,50,0
239.0,45,0
247.0,44,0
248.0,45,0
261.0,54,0
268.0,46,0
276.0,45,0
282.0,49,0
285.0,47,0
287.0,52,0
289.0,44,0
290.0,49,0
297.0,57,0
301.0,53,0
308.0,55,0
317.0,48,0
321.0,46,0
322.0,47,0
329.0,46,0
331.0,50,0
333.0,57,0
334.0,49,0
335.0,49,0
336.0,46,0
337.0,51,0
339.0,51,0
345.0,44,0
352.0,49,0
363.0,51,0
365.0,52,0
374.0,52,0
382.0,49,0
397.0,49,0
400.0,49,0
402.0,53,0
403.0,54,0
415.0,51,0
427.0,47,0
439.0,47,0
447.0,48,0
449.0,47,0
453.0,50,0
454.0,47,0
457.0,48,0
462.0,50,0
465.0,46,0
491.0,49,0
495.0,51,0
500.0,50,0
507.0,45,0
508.0,44,0
510.0,48,0
513.0,49,0
519.0,53,0
524.0,50,0
536.0,49,0
537.0,47,0
538.0,51,0
539.0,49,0
540.0,44,0
542.0,48,0
548.0,51,0
552.0,47,0
555.0,52,0
557.0,48,0
559.0,54,0
562.0,50,0
584.0,50,0
592.0,51,0
599.0,50,0
