hospital_id,hospital_region_name
65003,中国地方
10192,中国地方
15490,中国地方
93607,中国地方
12727,中国地方
42823,中国地方
47608,中国地方
38428,中国地方
31675,中国地方
72359,中国地方
40749,中国地方
74700,中国地方
27229,中国地方
16516,中国地方
63644,中国地方
74906,中国地方
19204,中国地方
48485,中国地方
53086,中国地方
76873,中国地方
26287,中国地方
79713,中国地方
69212,中国地方
98212,中国地方
41703,中国地方
70937,中国地方
80288,中国地方
89145,中国地方
47891,中国地方
15660,中国地方
17786,中国地方
63132,中国地方
80613,中国地方
37717,中国地方
20545,中国地方
11784,中国地方
22845,中国地方
39313,中国地方
17481,中国地方
36229,中国地方
75538,中国地方
81803,中国地方
89712,中国地方
90615,中国地方
70826,中国地方
19584,中国地方
13374,中国地方
83489,中国地方
94768,中国地方
75947,中国地方
36176,中国地方
66833,中国地方
14937,中国地方
69225,中国地方
49727,中国地方
28780,中国地方
25397,中国地方
92343,中国地方
54322,中国地方
14848,中国地方
65450,中国地方
73462,中国地方
6238,中国地方
40458,中国地方
17437,中国地方
32758,中国地方
94158,中国地方
80178,中国地方
86565,中国地方
25582,中国地方
66008,中国地方
65506,中国地方
28739,中国地方
41101,中国地方
95559,中国地方
46438,中国地方
93043,中国地方
58778,中国地方
84422,中国地方
59076,中国地方
34936,中国地方
33382,中国地方
71949,中国地方
60001,中国地方
7469,中国地方
25221,中国地方
61132,中国地方
33757,中国地方
60448,中国地方
40190,中国地方
86916,中国地方
50618,中国地方
69506,中国地方
68127,中国地方
62230,中国地方
49963,中国地方
6169,中国地方
12867,中国地方
59027,中国地方
85030,中国地方
86744,中国地方
12813,中国地方
30382,中国地方
71744,中国地方
87276,中国地方
60545,中国地方
88077,中国地方
52988,中国地方
7826,中国地方
31041,中国地方
53658,中国地方
18459,中国地方
46291,中国地方
13035,中国地方
8565,中国地方
83356,中国地方
79858,中国地方
95413,中国地方
86159,中国地方
70436,中国地方
63924,中国地方
10168,中国地方
76517,中国地方
11356,中国地方
82796,中国地方
50215,中国地方
89198,中国地方
10637,中国地方
86062,中国地方
62214,中国地方
54066,中国地方
58391,中国地方
58169,中国地方
27716,中国地方
6511,中国地方
79130,中国地方
42942,中国地方
28387,中国地方
58691,中国地方
75954,中国地方
10926,中国地方
27633,中国地方
55282,中国地方
33273,中国地方
100223,中国地方
96383,中国地方
25570,中国地方
36066,中国地方
43649,中国地方
21010,中国地方
50464,中国地方
49249,中国地方
11263,中国地方
15542,中国地方
62539,中国地方
56548,中国地方
74310,中国地方
41384,中国地方
16923,中国地方
57241,中国地方
7162,中国地方
25793,中国地方
89614,中国地方
55848,中国地方
14041,中国地方
78825,中国地方
35779,中国地方
66915,中国地方
65379,中国地方
50700,中国地方
98864,中国地方
18369,中国地方
96931,中国地方
88595,中国地方
41823,中国地方
40369,中国地方
90237,中国地方
73587,中国地方
38828,中国地方
72886,中国地方
27927,中国地方
84055,中国地方
9772,中国地方
84348,中国地方
25153,中国地方
73137,中国地方
69022,中国地方
99268,中国地方
30862,中国地方
17342,中国地方
69910,中国地方
92676,中国地方
44619,中国地方
68289,中国地方
69541,中国地方
92742,中国地方
27393,中国地方
67598,中国地方
45093,中国地方
78549,中国地方
84325,中国地方
59850,中国地方
11324,中国地方
56203,中国地方
31127,中国地方
20979,中国地方
9720,中国地方
94792,中国地方
19711,中国地方
7083,中国地方
70846,中国地方
25860,中国地方
7847,中国地方
6288,中国地方
47448,中国地方
84161,中国地方
50999,中国地方
34065,中国地方
94352,中国地方
95676,中国地方
13399,中国地方
72103,中国地方
12435,中国地方
89094,中国地方
13734,中国地方
15525,中国地方
66991,中国地方
12026,中国地方
73603,中国地方
27107,中国地方
85643,中国地方
51275,中国地方
45962,中国地方
58754,中国地方
71635,中国地方
92517,中国地方
34829,中国地方
61474,中国地方
41117,中国地方
55632,中国地方
5836,中国地方
96396,中国地方
70604,中国地方
80594,中国地方
35033,中国地方
42417,中国地方
71281,中国地方
90612,中国地方
84868,中国地方
74173,中国地方
11722,中国地方
8644,中国地方
34448,中国地方
25708,中国地方
19038,中国地方
50459,中国地方
80300,中国地方
68878,中国地方
74978,中国地方
55765,中国地方
91056,中国地方
38266,中国地方
67020,中国地方
24635,中国地方
83121,中国地方
90364,中国地方
83249,中国地方
75147,中国地方
63018,中国地方
95739,中国地方
31807,中国地方
36969,中国地方
40889,中国地方
85146,中国地方
95725,中国地方
75817,中国地方
9555,中国地方
78458,中国地方
47573,中国地方
40013,中国地方
48308,中国地方
75460,中国地方
25419,中国地方
22758,中国地方
79128,中国地方
22543,中国地方
22491,中国地方
6581,中国地方
49014,中国地方
25239,中国地方
59168,中国地方
46493,中国地方
24911,中国地方
31763,中国地方
18234,中国地方
32946,中国地方
34440,中国地方
72761,中国地方
88109,中国地方
22125,中国地方
63871,中国地方
83106,中国地方
71138,中国地方
47955,中国地方
64455,中国地方
81161,中国地方
80389,中国地方
53863,中国地方
12795,中国地方
53074,中国地方
84301,中国地方
18926,中国地方
41471,中国地方
16839,中国地方
77581,中国地方
81722,中国地方
61082,中国地方
20196,中国地方
56132,中国地方
51693,中国地方
57326,中国地方
64735,中国地方
59029,中国地方
61620,中国地方
8233,中国地方
100300,中国地方
89691,中国地方
26024,中国地方
87513,中国地方
19798,中国地方
44334,中国地方
46765,中国地方
90660,中国地方
18818,中国地方
94289,中国地方
33335,中国地方
50296,中国地方
45225,中国地方
82066,中国地方
6331,中国地方
16072,中国地方
65545,中国地方
72053,中国地方
72266,中国地方
24044,中国地方
62645,中国地方
100383,中国地方
97250,中国地方
41458,中国地方
82063,中国地方
65184,中国地方
60776,中国地方
15718,中国地方
18501,中国地方
29349,中国地方
47416,中国地方
56779,中国地方
9827,中国地方
96169,中国地方
9102,中国地方
93513,中国地方
94891,中国地方
42112,中国地方
21071,中国地方
7111,中国地方
99138,中国地方
49209,中国地方
5898,中国地方
18707,中国地方
91135,中国地方
90979,中国地方
87408,中国地方
73923,中国地方
52730,中国地方
21811,中国地方
60558,中国地方
11650,中国地方
89639,中国地方
42042,中国地方
71960,中国地方
44233,中国地方
66166,中国地方
57908,中国地方
15609,中国地方
12534,中国地方
21320,中国地方
7148,中国地方
52074,中国地方
61126,中国地方
9112,中国地方
99676,中国地方
79126,中国地方
57602,中国地方
24133,中国地方
17503,中国地方
50720,中国地方
88764,中国地方
31450,中国地方
46791,中国地方
54605,中国地方
21658,中国地方
14448,中国地方
79476,中国地方
13684,中国地方
95766,中国地方
73437,中国地方
74488,中国地方
99925,中国地方
47487,中国地方
58003,中国地方
89273,中国地方
9459,中国地方
76144,中国地方
73772,中国地方
81955,中国地方
49937,中国地方
58259,中国地方
56605,中国地方
86932,中国地方
24047,中国地方
71835,中国地方
89513,中国地方
32767,中国地方
99796,中国地方
87531,中国地方
75539,中国地方
69393,中国地方
32237,中国地方
100536,中国地方
27079,中国地方
76014,中国地方
51738,中国地方
97365,中国地方
38699,中国地方
92943,中国地方
23764,中国地方
14768,中国地方
100542,中国地方
82011,中国地方
77855,中国地方
32088,中国地方
24585,中国地方
94797,中国地方
92715,中国地方
99824,中国地方
24912,中国地方
97522,中国地方
88449,中国地方
68418,中国地方
98342,中国地方
40304,中国地方
13029,中国地方
99199,中国地方
86033,中国地方
79981,中国地方
51589,中国地方
94022,中国地方
57132,中国地方
100076,中国地方
91746,中国地方
69358,中国地方
25924,中国地方
77245,中国地方
60902,中国地方
84761,中国地方
41397,中国地方
52739,中国地方
87856,中国地方
55966,中国地方
85867,中国地方
100664,中国地方
65077,中国地方
74392,中国地方
44278,中国地方
35144,中国地方
10051,中国地方
95236,中国地方
55737,中国地方
49926,中国地方
50780,中国地方
70513,中国地方
11158,中国地方
76175,中国地方
31083,中国地方
67018,中国地方
50766,中国地方
63819,中国地方
38576,中国地方
64607,中国地方
78228,中国地方
100638,中国地方
50235,中国地方
39565,中国地方
58443,中国地方
82910,中国地方
73151,中国地方
35163,中国地方
50681,中国地方
31062,中国地方
46553,中国地方
45820,中国地方
32493,中国地方
65053,中国地方
52249,中国地方
50879,中国地方
87716,中国地方
50611,中国地方
62766,中国地方
34089,中国地方
13265,中国地方
41695,中国地方
81127,中国地方
43751,中国地方
8559,中国地方
31177,中国地方
22103,中国地方
68673,中国地方
35564,中国地方
93307,中国地方
91748,中国地方
64364,中国地方
51676,中国地方
36387,中国地方
31258,中国地方
45673,中国地方
71789,中国地方
42768,中国地方
26300,中国地方
93240,中国地方
45897,中国地方
58075,中国地方
67381,中国地方
50142,中国地方
87818,中国地方
41460,中国地方
42475,中国地方
78452,中国地方
54559,中国地方
16236,中国地方
35568,中国地方
99753,中国地方
37122,中国地方
32033,中国地方
14176,中国地方
24234,中国地方
85869,中国地方
20830,中国地方
28366,中国地方
79280,中国地方
36741,中国地方
94950,中国地方
39881,中国地方
80402,中国地方
13098,中国地方
66693,中国地方
51856,中国地方
85012,中国地方
58142,中国地方
27138,中国地方
61895,中国地方
54329,中国地方
84872,中国地方
53287,中国地方
64929,中国地方
94021,中国地方
37719,中国地方
70088,中国地方
93073,中国地方
90375,中国地方
69861,中国地方
26916,中国地方
30944,中国地方
39426,中国地方
51976,中国地方
73718,中国地方
29351,中国地方
86572,中国地方
34751,中国地方
80836,中国地方
94005,中国地方
16280,中国地方
8668,中国地方
62522,中国地方
37715,中国地方
56544,中国地方
70155,中国地方
100671,中国地方
50301,中国地方
85189,中国地方
64182,中国地方
97852,中国地方
71992,中国地方
20866,中国地方
45900,中国地方
29363,中国地方
90082,中国地方
78710,中国地方
45171,中国地方
92469,中国地方
36774,中国地方
18602,中国地方
22684,中国地方
48836,中国地方
83992,中国地方
71701,中国地方
28811,中国地方
68845,中国地方
16122,中国地方
38715,中国地方
30029,中国地方
34965,中国地方
